image,H50_x_A,H50_y_A,H50_z_A,H50_nearest_Fe_1based,H50_nearest_Fe_distances_A,O48_H50_A,C46_C47_A,C47_O48_A,C46_H49_A,neighbor_movable_RMSD_A,neighbor_max_atom_step_A
00,4.297299721802553,4.4615755001841455,16.471279857496626,44/37/43,1.746672/1.763035/1.813552,3.0797279402226816,1.4161464335356349,1.288202960166284,1.0998614787279488,0.0,0.0
01,4.273039711326357,4.115779982297294,16.45985411365173,44/43/37,1.699851/1.722270/2.061895,3.265707480418973,1.415582130440411,1.2884791510778548,1.0997682169515415,0.06149396802713163,0.34683372950356217
02,4.248779700858643,3.769984464410443,16.44842836980683,43/44/41,1.698883/1.722622/2.001849,3.4734922353010393,1.415028626066422,1.2887631662686114,1.0996786080985586,0.0614939680272356,0.34683372950296903
03,4.224519690390929,3.4241889465235915,16.437002625961934,41/43/44,1.696576/1.746121/1.812365,3.699409827097632,1.4144859330780555,1.2890550005729426,1.0995926530087745,0.06149396802715358,0.3468337295029689
04,3.986451970211536,3.234224066500414,16.52024052746666,41/43/44,1.609993/1.683291/2.106940,3.6757909947391383,1.4140013048601758,1.2893274660070468,1.0995175817635434,0.055980933163227005,0.31573951808499484
05,3.7483842500321423,3.0442591864772353,16.6034784289484,41/43/44,1.583191/1.679465/2.406510,3.678165943214938,1.4135256559581006,1.2896064029233678,1.099445539881474,0.0559809331620781,0.3157395180789352
06,3.454292734020073,2.8679479590598107,16.57395093546821,41/43/40,1.574512/1.631911/2.464556,3.7014895322458976,1.4130174288253774,1.2899178157816213,1.0993704642539504,0.061020231473159825,0.3441617956353369
07,3.1602012180037624,2.6916367316483827,16.54442344201102,41/43/40,1.640240/1.657275/2.143598,3.755290924643706,1.4125198926614213,1.29023690710534,1.0992989893700658,0.06102023147288432,0.34416179563391464
08,3.0604736986626175,2.2997812389211845,16.527199572055995,41/40/43,1.579166/1.949098/1.954893,4.062300088755351,1.41194851343621,1.2906219551516327,1.099219546906023,0.07175609840267765,0.40471343811472504
09,2.9607461793129923,1.9079257461939867,16.50997570210097,41/40/38,1.620483/1.824573/2.157234,3.963528345683939,1.4113919516526425,1.2910176038325785,1.0991450856810354,0.07175609840317794,0.4047134381168147
10,2.861018659971848,1.516070253466789,16.492751832122945,41/40/38,1.756982/1.784730/1.806773,3.901044950393052,1.4108502248310721,1.2914238434181853,1.0990756067577316,0.07175609840286741,0.40471343811570376
