index_zero,atom_one,species,z_A,fixed,m_9752745_muB,m_9754301_muB,delta_m_muB,force_old_eVA,force_new_eVA,force_difference_eVA
0,1,Fe,7.499999999998887,True,2.55,2.33,-0.21999999999999975,0.029228926682312507,0.07808882571149345,0.08103619466633413
1,2,Fe,7.499999999998887,True,2.542,2.316,-0.22599999999999998,0.009401775576985447,0.12609902458782146,0.11690181013996319
2,3,Fe,7.499999999998887,True,2.538,2.338,-0.19999999999999973,0.009225120974816536,0.0846359555449101,0.08626415903490858
3,4,Fe,7.499999999998887,True,2.541,2.403,-0.1379999999999999,0.00921654398351139,0.30037471090789253,0.30600146209781415
4,5,Fe,7.499999999998887,True,2.548,2.4,-0.14800000000000013,0.023236987627487347,0.3072710663388273,0.3085989047631245
5,6,Fe,7.499999999998887,True,2.545,2.306,-0.23899999999999988,0.01985484817368292,0.04193300572341553,0.060473648781928145
6,7,Fe,7.499999999998887,True,2.537,2.33,-0.20699999999999985,0.011159848565280803,0.13112934703566553,0.12212089745002697
7,8,Fe,7.499999999998887,True,2.545,2.338,-0.20699999999999985,0.006808038998125672,0.09189418256342455,0.09337430804027412
8,9,Fe,7.499999999998887,True,2.541,2.343,-0.19799999999999995,0.012411208200654762,0.08187536201446685,0.07969705865337817
9,10,Fe,9.49895436066369,True,2.248,-1.976,-4.224,0.11803907690676,0.04168779220587245,0.1272630092446348
10,11,Fe,9.49895436066369,True,2.271,2.063,-0.20799999999999974,0.13212751623337207,0.16020193439843353,0.0364886846433247
11,12,Fe,9.49895436066369,True,2.269,-1.948,-4.2170000000000005,0.12524808515502342,0.06135337055125823,0.10776639020121255
12,13,Fe,9.49895436066369,True,2.248,-2.033,-4.281000000000001,0.1188719426021128,0.35186220989188366,0.3226008038458677
13,14,Fe,9.49895436066369,True,2.246,-2.031,-4.277,0.10352101799151707,0.3373560338322112,0.3288779391035525
14,15,Fe,9.49895436066369,True,2.255,-2.048,-4.303,0.12148597937622266,0.02963860541590984,0.09429584386387345
15,16,Fe,9.49895436066369,True,2.259,-2.047,-4.306,0.11828000599425079,0.05109441773814435,0.07445242826127299
16,17,Fe,9.49895436066369,True,2.283,-2.047,-4.33,0.12910997731778903,0.37003808450077136,0.39679216177490195
17,18,Fe,9.49895436066369,True,2.249,-2.04,-4.289,0.11351138886473022,0.37417322274315673,0.40277204355565693
18,19,Fe,11.487694335491911,False,2.217,2.042,-0.17500000000000027,0.0036071519236095394,0.10152181563585237,0.10431020115501646
19,20,Fe,11.491223754656065,False,2.199,2.049,-0.1499999999999999,0.04202441967475577,0.0816114531423133,0.10708686668775029
